ride_id,driver_name,passenger_name,pickup_city,dropoff_city,fare_amount,ride_distance_km,ride_status,requested_at,completed_at,rating,payment_method
5013,Deepak Thapa,Meena Adhikari,Chitwan,Biratnagar,80.00,8.90,completed,2026-08-14 19:29:48,2026-08-14 19:49:35.000000,2.6,card
5014,Suresh Magar,Kavya Poudel,Pokhara,Kirtipur,362.06,46.98,completed,2026-08-14 14:44:56,2026-08-14 15:47:59.000000,3.8,card
5015,Priya Gurung,Suman Giri,Birgunj,Hetauda,440.87,34.12,completed,2026-08-14 03:14:49,2026-08-14 04:31:14.000000,4.6,khalti
5016,Nisha Bista,Niraj Acharya,Hetauda,Lalitpur,638.48,40.17,cancelled,2026-08-14 01:33:53,,,khalti
5017,Sita Tamang,Suman Giri,Pokhara,Birgunj,80.00,5.87,completed,2026-08-14 16:46:20,2026-08-14 16:55:48.000000,3.8,esewa
5018,Sita Tamang,Niraj Acharya,Kathmandu,Pokhara,320.18,47.68,completed,2026-08-14 04:54:15,2026-08-14 06:01:15.000000,4.7,cash
5019,Kabita Lama,Prem Basnet,Hetauda,Kathmandu,215.79,28.05,completed,2026-08-14 01:47:07,2026-08-14 02:20:40.000000,2.5,card
5020,Suresh Magar,Sanjay Maharjan,Birgunj,Butwal,855.10,39.91,cancelled,2026-08-14 07:42:40,,,esewa
5021,Sita Tamang,Meena Adhikari,Chitwan,Biratnagar,370.67,43.85,completed,2026-08-14 10:53:24,2026-08-14 12:31:39.000000,4.3,cash
5022,Priya Gurung,Niraj Acharya,Chitwan,Birgunj,521.48,46.94,cancelled,2026-08-14 16:41:31,,,
5023,Rajan Pandey,Ritu Koirala,Hetauda,Biratnagar,683.79,33.97,completed,2026-08-14 01:26:51,2026-08-14 02:05:34.000000,,card
